"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"241","Respondent 244","I give consent to take part in this study",36,"Female","Yes","S60","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","2","2","2","3","4",NA,1,0,1,0,0,"Yes",5,7,7,6,6,"I don't carry out any of these activities","There's a filled in strip mine redesignated as a bird habitat for as long as it takes for developers to fill the space with houses. I am also near some post industrial canals that grow a hardy crop of carrier bags and shopping trolleys. No pretty trout streams and dragonfly ponds for me.","haunted by flytipping","Often insects, sometimes birds. When I'm lucky, a heron. Once, many years ago, I saw a kingfisher swoop beneath the elevated walkway at Meadowhall shopping centre that joins the station to the centre... It was a crystallising moment.","all of it, but especially dragonflies and birds of prey.","I already do","Force our government to actually penalise industrial operators dumping waste into the water stream... Not sure the river Ribble needs uranium tailings, not sure anyone benefits from raw sewage hitting estuaries. Whatever I do as an individual is not going to compete with dumping 703 Kg of uranium ore in one year.","2025-05-23 08:53:10 UTC","2025-05-23 09:50:18 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,0,1,0,0,2,0.4,2
"242","Respondent 245","I give consent to take part in this study",28,"Female","Yes","S74","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1","1","2","2","2","3",NA,12,12,2,12,12,"Yes",6,6,7,7,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Urban, historic, swans!","green, brambles, calm","swans, rats, a heron once (!), squirrels, pigeons (including racing pigeons - many in the area), goldfinches and wagtails","I love birds, it would be great to see a wider variety of them. Frogs too!","Maybe, I would consider providing a blue space with more information or assistance","I would have as much access as possible for people to explore, within reason!","2025-05-23 10:20:46 UTC","2025-05-23 10:35:50 UTC","1","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,50,10,5
"243","Respondent 246","I give consent to take part in this study",25,"Male","Yes","OX4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","2","2","2","3","4",NA,52,12,2,0,1,"Yes",5,6,5,5,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","lots of boats","nice for swimming","geese, ducks, other aquatic birds, pond plants, fish","big fish","I would if I had the space","promote blue spaces that are maintained as both natural habitats and spaces for recreation","2025-05-23 10:52:43 UTC","2025-05-23 11:05:43 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,0,1,67,13.4,4
"244","Respondent 247","I give consent to take part in this study",27,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,1,12,52,12,"Yes",6,6,5,6,5,"Exercise (e.g., walking, kayaking, swimming)","tidal estuary","estuary nature preserve","deer, swans, graylag geese","more variety of shorebirds","I would if I had the space","increase awareness about conservation and importance","2025-05-23 11:19:04 UTC","2025-05-23 11:26:47 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,129,25.8,5
"245","Respondent 248","I give consent to take part in this study",61,"Female","Yes","HU3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","2","1","2","2","2",NA,2,2,12,12,2,"Yes",7,7,7,7,7,"Nature watching,Photography","Pearson Park Pond","amazing Humber estuary","seals, porpoises, curlew, oyster catchers, goldfinches, short-eared owls, corvids, gulls, songbirds, starlings, swifts and martins, insects, butterflies, bees and wasps, flies, ladybirds, sea birds, mice, rats, ducks, geese, all kinds of flora, rabbits, so much!","voles, otters, all types really","Maybe, I would consider providing a blue space with more information or assistance","More/better education about their value and the wildlife they support, although appreciate the work already being done; make them more accessible; recruit guides/champions; ensure blue spaces are kept clean; enforce water quality standards; regular, specific weekend opportunities to volunteer","2025-05-23 11:51:50 UTC","2025-05-23 12:02:19 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,30,6,5
"246","Respondent 249","I give consent to take part in this study",24,"Female","Yes","hu9","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,2,52,12,12,12,"Yes",1,1,1,4,1,"Nature watching,Dog walking,Photography,Feeding wildlife (e.g., ducks, fish)","very neat. I love the local area","perfect","many birds and plants","birds","I already do","take care the spaces","2025-05-23 12:10:31 UTC","2025-05-23 12:13:23 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,90,18,5
"247","Respondent 250","I give consent to take part in this study",82,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","1","1","1","1","1","2",NA,2,52,2,12,12,"Yes",6,6,5,6,6,"Nature watching,Photography,Pond dipping","Allotment","River bank","Fox , birds , rats,  insects,  frogspawn,  newts","Field mice","I already do","Wild areas in parks.","2025-05-23 12:08:24 UTC","2025-05-23 12:22:01 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,80,16,5
"248","Respondent 251","I give consent to take part in this study",28,"Other","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","2","3","1","1","3",NA,12,2,2,12,52,"Yes",7,7,6,6,7,"Nature watching,Photography","Lacking in biodiversity","Calming, lively, peaceful","Watervoles,kingfisher, seals, dolphins, gannets, puffins, razorbills, guillemots, peregrines, harriers-marsh, hen and once a Montagues. Dragonflies, damselflies, butterflies, waterfowl,","Otters, more invertebrates,","I already do","Remove invasive species such a Himalayan balsam, litter removal, get the government/water companies to stop dumping sewage. Better farmland runoff removal. Or less animal agriculture","2025-05-23 12:37:24 UTC","2025-05-23 12:46:53 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Other",1,1,1,1,1,80,16,5
"249","Respondent 252","I give consent to take part in this study",30,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","1",NA,12,12,2,52,52,"Yes",5,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping","Pretty but not diverse","Pretty but not diverse","River fishes, aquatic inverts, amphibians, signs of water voles, signs of otters, rats, swallows and other bird species associated and not associated with aquatics.","I would like to see more inverts because this would cause increase in areas being used by native protected species.","I would if I had the space","Unsure","2025-05-23 12:44:12 UTC","2025-05-23 12:49:53 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"250","Respondent 253","I give consent to take part in this study",49,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,52,1,12,1,1,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Photography","National Avenue drain","National Avenue drain","Little Egret, mallards, there's a water vole conservation area on the drain near us. Loads of stuff.","Wading birds","I already do","Awareness, accessibility, safety","2025-05-23 12:45:10 UTC","2025-05-23 12:49:57 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,67,13.4,5
"251","Respondent 254","I give consent to take part in this study",21,"Male","Yes","HU6","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","1","1","1","1","1","1",NA,52,1,12,52,52,"Yes",7,7,5,6,7,"Nature watching,Photography","Lack of wildlife","Lack of woldlife","Ducks, geese and swans","Fish sea birds","I would if I had the space","Make sure it is upkept","2025-05-23 12:51:58 UTC","2025-05-23 12:54:06 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,169,33.8,5
"252","Respondent 255","I give consent to take part in this study",52,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,12,2,12,2,2,"Yes",6,7,7,6,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Often polluted","Not sure","Puffin very recently at Bempton","Kingfisher","I already do","Avoid rubbish build-up","2025-05-23 12:50:52 UTC","2025-05-23 12:56:36 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,30,6,5
"253","Respondent 256","I give consent to take part in this study",61,"Male","Yes","hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","3","1","1","1",NA,12,12,12,12,12,"Yes",6,7,6,6,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","green ducks fountain","open flowing song","it would be an extensive list of birds invertebrates mammals reptiles and amphibians","I want to see the water and habitat in the best possible condition - then whatever that would support","I already do","water quality, sumpathetic margin and bank management","2025-05-23 14:25:59 UTC","2025-05-23 14:43:41 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,60,12,5
"254","Respondent 257","I give consent to take part in this study",42,"Female","Yes","HU4","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","2","1","1","1",NA,52,52,12,52,12,"Yes",7,7,5,7,6,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography","Pocket of calm","A wildlife haven","Birds, mammals, insects. Such a variety from damselflies to tufted ducks to bank voles.","Everything! Particularly invertebrates, whose numbers seem to be dwindling.","I already do","Education of the public to respect nature,and protection of these precious spaces from harm.","2025-05-23 15:41:28 UTC","2025-05-23 15:48:14 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,180,36,5
"255","Respondent 258","I give consent to take part in this study",45,"Female","Yes","Yo2","Rural (i.e., mostly countryside with few houses or buildings)","Yes","No","1","1","1","1","1","1",NA,52,52,52,12,12,"Yes",7,7,5,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Untouched beauty","Breathtaking","Nesting sea birds","Native red listed animals","I already do","Educating people","2025-05-23 16:04:26 UTC","2025-05-23 16:13:55 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,180,36,5
"256","Respondent 259","I give consent to take part in this study",63,"Male","Yes","hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","1","1","2","1","3",NA,2,0,52,12,1,"Yes",6,7,7,6,7,"Nature watching,Dog walking,Photography","peaceful, accesible,valued","changeable, interesting, beautiful","birdlife, seals","any","I already do","create more of them in accessible locations","2025-05-23 16:16:39 UTC","2025-05-23 16:28:21 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,0,1,1,1,67,13.4,4
"257","Respondent 260","I give consent to take part in this study",58,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,12,12,12,12,12,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Rock pooling","Important Beautiful Inspiring","Serene Diverse Essential","Barnacles Seaweed Limpets","Blue carbon habitats; Cetaceans; fish","I would if I had the space","Protection and expansion of existing designated areas; rewilding","2025-05-23 15:32:56 UTC","2025-05-23 16:54:57 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,60,12,5
"258","Respondent 261","I give consent to take part in this study",67,"Male","Yes","WF2","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,52,52,52,12,0,"Yes",6,7,5,7,5,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish),Rock pooling","Sea sand caravans","Sea Sand Clifftops","Geese Deer Duck Mole Birds Kestrel Mouse","Any","I already do","Accessibility - free parking free entry","2025-05-23 20:29:25 UTC","2025-05-23 20:35:25 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,0,168,33.6,4
"259","Respondent 262","I give consent to take part in this study",64,"Male","Yes","LA5","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,52,2,12,2,2,"Yes",1,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","Canal, river, lake, coastline","Reed beds, shoreline","Birds, mammals, insects","Birds, insects","I would if I had the space","Better accessibility","2025-05-24 06:07:17 UTC","2025-05-24 06:16:02 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,70,14,5
"260","Respondent 263","I give consent to take part in this study",52,"Male","Yes","S64","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","2","1","1","1","1","1",NA,52,52,12,12,2,"Yes",6,7,6,7,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing,Photography,Feeding wildlife (e.g., ducks, fish)","Manvers park lake","River Don canal","Lots","Mallard","I would if I had the space","Investment","2025-05-24 08:32:33 UTC","2025-05-24 08:38:32 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,130,26,5
"261","Respondent 264","I give consent to take part in this study",36,"Male","Yes","Dn1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,12,12,12,12,12,"Yes",7,7,7,7,7,"Nature watching,Fishing,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Out doors","Calm and peaceful","Alot to much to mention","Wolfs","I would if I had the space","Stop cycling","2025-05-24 09:26:22 UTC","2025-05-24 09:30:49 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,60,12,5
"262","Respondent 265","I give consent to take part in this study",30,"Female","Yes","M20","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","2","1","1","1","2",NA,12,12,2,2,1,"Yes",7,7,7,7,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping,Rock pooling","concrete canals","there is none","birds","birds, fish , otter , dragonflies","Maybe, I would consider providing a blue space with more information or assistance","access paths, informations signs, plants","2025-05-24 17:05:59 UTC","2025-05-24 17:10:37 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,29,5.8,5
"263","Respondent 266","I give consent to take part in this study",39,"Male","Yes","DN1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","2","1","3","2","4",NA,2,2,1,2,2,"Yes",6,7,5,6,6,"Nature watching,Photography,Rock pooling","Dangerous, deep, repurposed","Expansive, varied, lowland","Leeches, frogs, newts, caddisfly larvae","Kingfisher, heron and beavers","I already do","Limit water motor sports, restrictive fishing","2025-05-24 20:41:50 UTC","2025-05-24 20:51:28 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,9,1.8,5
"264","Respondent 267","I give consent to take part in this study",39,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,12,52,12,2,2,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","tranquil, uplifting habitat","Tranquil uplifting habitat","Ducks, geese, squirrels, cormorants, oyster catcher, moorhens, swans, dragon flies, rats, gulls, redshanks, fish, herons, catfish, sea eagles, seals, dolphin, puffins, guillemots, razorbills, crabs, jellyfish, snails, lizards, butterflies, grass snake, bees, slugs, shellfish,","All, particularly those whose populations aren't as high as they used to be","Maybe, I would consider providing a blue space with more information or assistance","Water companies should be forced to update infrastructure to prevent pollution from dodgy discharges, or nationalised to achieve this. Greenbelt land should remain protected against new developments. Would like to see more projects like the one in Devon where reefs of seameadow were seeded to provide marine habitat and amazing snorkelling/diving opportunities right alongside a popular beach. Enthusiastic for restoring much diminished native temperate rainforests as an important habitat. Reintroducing beavers to engineer environments. Recognising blue spaces as a public asset to be kept clean and biodiverse and safe/open to access for swimming/recreation.","2025-05-24 23:40:14 UTC","2025-05-25 00:07:19 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,80,16,5
"265","Respondent 268","I give consent to take part in this study",44,"Female","Yes","HU6","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,52,2,2,2,12,"Yes",1,1,1,1,1,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","East Park, there is a large pond with many birds, also pearson park","flamborough and the eastern coastline, my partner and I are walking the Cleveland way","puffins, seals, variety of gulls, rock doves, pigeons, owls, foxes","smaller birds like tits, whatever birds could and should be in the area that I am not familiar with, insects and butterflies too","I already do","better public education to avoid dumping rubbish, there is a good sign and platform added near a drain near endike rd school which is a habitat for many water birds","2025-05-25 13:24:14 UTC","2025-05-25 13:34:20 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,70,14,5
"266","Respondent 269","I give consent to take part in this study",65,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","3",NA,52,52,2,2,2,"Yes",7,7,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","essential under-resourced ignored","essential over-looked beautiful","insects, amphibians, birds, small mammals, deer, otter","otters, kingsfishers, freshwater plants","I would if I had the space","stop building around blue spaces and provide more information on why they are important to humans","2025-05-25 16:48:05 UTC","2025-05-25 16:55:03 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,110,22,5
"267","Respondent 270","I give consent to take part in this study",32,"Female","Yes","Hu6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","2","1","1","1","3",NA,52,12,2,2,2,"Yes",7,7,7,7,7,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","Beautiful, declining, poor-access","Peaceful, under-threat","Birds, fish, snakes, deer","Everything!","Maybe, I would consider providing a blue space with more information or assistance","I want to see organisations that pollute water held accountable! I would then like to provide safer access points to blue spaces (e.g launch points for small craft). It's a fine balance between encourage people to access water ways and stopping people abusing them, but education is a must - and small craft licences can be rebooked for littering or bothering wildlife","2025-05-26 04:57:59 UTC","2025-05-26 05:04:37 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,70,14,5
"268","Respondent 271","I give consent to take part in this study",31,"Other","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","2","2","3","4","3","5",NA,2,2,2,2,2,"Yes",6,7,6,4,5,"Nature watching,Feeding wildlife (e.g., ducks, fish),Pond dipping,Rock pooling","Litter, wildlife, unkempt","Litter wildlife drugs","Heron, frogs, ducks, swans, fish, turtles","Ducks","I already do","More accessible, less litter","2025-05-26 16:18:27 UTC","2025-05-26 16:21:51 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Other",1,1,1,1,1,10,2,5
"269","Respondent 272","I give consent to take part in this study",35,"Female","Yes","Y01","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","1","1","1","1","1",NA,12,12,52,1,2,"Yes",6,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Spacious, expansive, refreshing","Powerful, mysterious, awe-inspiring","Sea birds, whale, dolphins, waders, birds etc","Marine mammals, bird life","I already do","Make them more accessible, more of them, keep them clean, encourage biodiversity","2025-05-26 16:19:06 UTC","2025-05-26 16:23:08 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,79,15.8,5
"270","Respondent 273","I give consent to take part in this study",59,"Female","Yes","HU17","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","2",NA,12,12,12,12,1,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","life beauty value","life beauty joy","wide range of species","everything","Maybe, I would consider providing a blue space with more information or assistance","Provide more areas for nature to thrive.  Water is the essential element for natural spaces.","2025-05-26 16:18:41 UTC","2025-05-26 16:31:37 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,49,9.8,5
"271","Respondent 274","I give consent to take part in this study",27,"Female","Yes","S73","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,52,1,1,0,0,"Yes",6,7,7,7,5,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming)","Meandering, trickling, calm","Long, slow green","Wildflower, bats, birds, fish, insects,","All","I would if I had the space","Maintenance e.g. filtering litter, preventing sewage discharge, installing in land clean water bathing areas","2025-05-26 16:29:31 UTC","2025-05-26 16:34:34 UTC","1","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,0,0,54,10.8,3
"272","Respondent 275","I give consent to take part in this study",75,"Male","Yes","yo1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","2",NA,52,12,12,12,2,"Yes",1,1,1,1,1,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Pond dipping","cool clear water","home to riverflies","insects, birds, mammals","All","I already do","Community led improvements","2025-05-26 19:36:55 UTC","2025-05-26 19:44:17 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,90,18,5
"273","Respondent 276","I give consent to take part in this study",33,"Female","Yes","Dn1","Rural (i.e., mostly countryside with few houses or buildings)","Yes","No","1","1","1","1","1","1",NA,52,0,1,1,0,"Yes",1,1,1,1,1,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Humber esturay multidesignated site","Rspb blacktoft sands (still managed, nowhere actually wild round here)","Many birds","Badgers. Dragonflies. Insects. All of it","I already do","More native planting, less management","2025-05-26 19:43:06 UTC","2025-05-26 19:47:57 UTC","2","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,0,1,1,0,54,10.8,3
"274","Respondent 277","I give consent to take part in this study",65,"Female","Yes","YO4","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","2","1","1","1","1","1",NA,52,2,12,2,1,"Yes",6,7,7,6,6,"Nature watching,Dog walking","Water birds plants","Lots of creatures","Moorhens, ducks, turtles, warblers, dragonflies, butterflies, otter, trees and flowers.","Butterflies, birds.","I already do","Dogs always on leads and never in the water.","2025-05-26 19:42:54 UTC","2025-05-26 19:53:44 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,69,13.8,5
"275","Respondent 278","I give consent to take part in this study",55,"Female","Yes","Y01","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","No","1","1","1","1","1","1",NA,12,1,52,1,1,"Yes",6,7,6,6,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Fishing","Beautiful, costal, clean","Inaccesible, overgrown, necessary","birds, dolphins, seals, deer, kingfishers, rats, water voles, fish, bees, dragonflies, grass snakes","Native birds, Bees, otters, bats","I would if I had the space","Stop all insectisides, encourage wild flowers, native trees, volunteers to clean up areas, reintroduce pathways, more native trees.","2025-05-26 19:51:52 UTC","2025-05-26 20:01:31 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,67,13.4,5
"276","Respondent 279","I give consent to take part in this study",66,"Female","Yes","YO1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,52,12,52,2,1,"Yes",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Relaxing, beautiful tranquil","Invigorating beautiful sanctuary","Birds, flowers, bats, insects, dolphins, seals, porpoise, whales, seaweeds, lichens, anenomes, crabs, jellyfish, molluscs","More of all wildlife listed in previous question","I already do","Habitat improvement to increase biodiversity,  more blue spaces, less tidiness and reduction of litter and chemicals ie. neonicotinoids  entering the water","2025-05-26 21:02:00 UTC","2025-05-26 21:42:20 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,119,23.8,5
"277","Respondent 280","I give consent to take part in this study",80,"Male","Yes","yo1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,12,12,12,2,2,"Yes",6,6,5,6,6,"Nature watching,Rock pooling","Beautiful varied coast","Peaceful walking area","Amazing variety of marine organisms","Bushes and scrub which seem to be 'unliked' and cleared","I already do","Improve awareness of what people have on their doorstep.","2025-05-27 07:20:58 UTC","2025-05-27 07:32:33 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,40,8,5
"278","Respondent 281","I give consent to take part in this study",68,"Female","Yes","YO1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","1",NA,12,52,52,12,52,"Yes",7,7,6,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Wooded lake , ducks","Beautiful coastal beach","Many varieties of duck and seabird, waders, small birds, dolphins, porpoises, shoaling fish,foxes, rabbits","Insects ,red listed birds","I already do","Keep them litter free. Reduce pollution - particularly sewage discharge. Provide more information for the public about what there is to see","2025-05-27 07:40:11 UTC","2025-05-27 07:47:18 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,180,36,5
"279","Respondent 282","I give consent to take part in this study",47,"Female","Yes","HU7","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,12,12,2,12,2,"Yes",5,1,5,5,5,"Nature watching,Dog walking,Photography","Sparkly lake relaxing","Run down pollution","Ducks, geese, rats, small birds, butterflies","Butterflies, insects, small birds and mammals","I already do","Maintainence so they are not filled with rubbish and pollution","2025-05-27 07:43:54 UTC","2025-05-27 07:49:32 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,40,8,5
